AIRPORT_CODE,AIRPORT_NAME,CITY_NAME,COUNTRY_NAME
AOS,Amook Bay Seaplane Base,"Amook Bay, AK",United States
APA,Centennial Airport,"Denver, CO",United States
APC,Napa County Airport,"Napa, CA",United States
APF,Naples Municipal Airport,"Naples, FL",United States
APN,Alpena County Regional Airport,"Alpena, MI",United States
APW,Faleolo International Airport,"Apia, Samoa",Samoa
AQY,Girdwood-Alyeska Airport,"Girdwood, AK",United States
ARA,Acadiana Regional Airport,"New Iberia, LA",United States
ARC,Arctic Village Airport,"Arctic Village, AK",United States
ARG,Walnut Ridge Regional Airport,"Walnut Ridge, AR",United States
ARI,Chacalluta International Airport,"Arica, Chile",Chile
ARN,Stockholm-Arlanda Airport,"Stockholm, Sweden",Sweden
ART,Watertown International Airport,"Watertown, NY",United States
ASD,Andros Town Airport,"Andros Town, The Bahamas",The Bahamas
ASE,Aspen-Pitkin County Airport (Sardy Field),"Aspen, CO",United States
ASI,RAF Ascension Island,"Ascension Island, Saint Helena, Ascension, and Tristan da Cunha","Saint Helena, Ascension, and Tristan da Cunha"
ASN,Talladega Municipal Airport,"Talladega, AL",United States
AST,Astoria Regional Airport,"Astoria/Seaside, OR",United States
ASU,Silvio Pettirossi International Airport,"Asuncion, Paraguay",Paraguay
ATH,Athens Eleftherios Venizelos International Airport,"Athens, Greece",Greece
ATK,Atqasuk Edward Burnell Sr Memorial Airport,"Atqasuk, AK",United States
ATL,Hartsfield Jackson Atlanta International Airport,"Atlanta, GA",United States
ATQ,Sri Guru Ram Das Ji International Airport,"Amritsar, India",India
ATT,Atmautluak Airport,"Atmautluak, AK",United States
ATW,Appleton International Airport,"Appleton, WI",United States
ATY,Watertown Regional Airport,"Watertown, SD",United States
AUA,Queen Beatrix International Airport,"Aruba, Aruba",Aruba
AUG,Augusta State Airport,"Augusta/Waterville, ME",United States
AUH,Zayed International Airport,"Abu Dhabi, United Arab Emirates",United Arab Emirates
AUK,Alakanuk Airport,"Alakanuk, AK",United States
AUO,Auburn University Regional Airport,"Auburn, AL",United States
AUS,Austin Bergstrom International Airport,"Austin, TX",United States
AVL,Asheville Regional Airport,"Asheville, NC",United States
AVP,Wilkes-Barre/Scranton International Airport,"Scranton/Wilkes-Barre, PA",United States
AWK,Wake Island Airfield,"Wake Island, TT",United States
AWM,West Memphis Municipal Airport,"West Memphis, AR",United States
AXA,Clayton J. Lloyd International Airport,"The Valley, Anguilla",Anguilla
AXM,El Eden Airport,"Armenia, Colombia",Colombia
AXN,Chandler Field,"Alexandria, MN",United States
AXX,Angel Fire Airport,"Eagle Nest, NM",United States
AYT,Antalya International Airport,"Antalya, Turkey",Turkey
AZA,Mesa Gateway Airport,"Phoenix, AZ",United States
AZO,Kalamazoo/Battle Creek International Airport,"Kalamazoo, MI",United States
AZS,Samaná El Catey International Airport,"Samana, Dominican Republic",Dominican Republic
BAD,Barksdale Air Force Base,"Shreveport, LA",United States
BAF,Westfield-Barnes Regional Airport,"Westfield, MA",United States
BAH,Bahrain International Airport,"Manama, Bahrain",Bahrain
BAQ,Ernesto Cortissoz International Airport,"Barranquilla, Colombia",Colombia
BBC,Bay City Regional Airport,"Bay City, TX",United States
BC3,Bliss Landing Water Aerodrome,"Bliss Landing, Canada",Canada
BC5,Dent Island Lodge,"Dent Island, Canada",Canada
BC6,Egmont Water Aerodrome,"Egmont, Canada",Canada
BC7,Sonora Resort,"Sonora Island, Canada",Canada
BC8,Pacific Outback Resort,"Hanson Island, Canada",Canada
BC9,Mink Island Water Aerodrome,"Mink Island, Canada",Canada
BCN,Josep Tarradellas Barcelona-El Prat Airport,"Barcelona, Spain",Spain
BCT,Boca Raton Airport,"Boca Raton, FL",United States
BDA,L.F. Wade International Airport,"Hamilton, Bermuda",Bermuda
BDL,Bradley International Airport,"Hartford, CT",United States
BDR,Igor I Sikorsky Memorial Airport,"Bridgeport, CT",United States
BED,Laurence G Hanscom Field,"Bedford, MA",United States
BEG,Belgrade Nikola Tesla Airport,"Belgrade, Serbia",Serbia
BEL,Val de Cans/Júlio Cezar Ribeiro International Airport,"Belem, Brazil",Brazil
BER,Berlin Brandenburg Airport,"Berlin, Germany",Germany
BES,Brest Bretagne airport,"Brest, France",France
BET,Bethel Airport,"Bethel, AK",United States
BFB,Blue Fox Bay Airport,"Blue Fox Bay, AK",United States
BFD,Bradford Regional Airport,"Bradford, PA",United States
BFF,Western Neb. Rgnl/William B. Heilig Airport,"Scottsbluff, NE",United States
BFI,King County International Airport - Boeing Field,"Seattle, WA",United States
BFL,Meadows Field,"Bakersfield, CA",United States
BFM,Mobile Downtown Airport,"Mobile, AL",United States
BFS,Belfast International Airport,"Belfast, United Kingdom",United Kingdom
BGA,Palonegro Airport,"Bucaramanga, Colombia",Colombia
BGI,Grantley Adams International Airport,"Barbados/Bridgetown, Barbados",Barbados
BGM,Greater Binghamton/Edwin A Link field,"Binghamton, NY",United States
BGO,"Bergen Airport, Flesland","Bergen, Norway",Norway
BGR,Bangor International Airport,"Bangor, ME",United States
BHB,Hancock County-Bar Harbor Airport,"Bar Harbor, ME",United States
BHM,Birmingham-Shuttlesworth International Airport,"Birmingham, AL",United States
BHX,Birmingham Airport,"Birmingham, United Kingdom",United Kingdom
BIC,Aérodrome de Belle Île,"Big Creek, AK",United States
BID,Block Island State Airport,"Block Island, RI",United States
BIF,Biggs Army Air Field (Fort Bliss),"El Paso, TX",United States
BIG,Allen Army Airfield,"Big Delta, AK",United States
BIH,Eastern Sierra Regional Airport,"Bishop, CA",United States
BIL,Billings Logan International Airport,"Billings, MT",United States
BIM,South Bimini Airport,"Bimini, The Bahamas",The Bahamas
BIO,Bilbao Airport,"Bilbao, Spain",Spain
BIS,Bismarck Municipal Airport,"Bismarck/Mandan, ND",United States
BIX,Keesler Air Force Base,"Biloxi, MS",United States
BJC,Rocky Mountain Metropolitan Airport,"Broomfield, CO",United States
BJI,Bemidji Regional Airport,"Bemidji, MN",United States
BJL,Banjul International Airport,"Banjul, The Gambia",The Gambia
BJV,Milas Bodrum International Airport,"Bodrum, Turkey",Turkey
BJX,Guanajuato International Airport,"Leon/Guanajuato, Mexico",Mexico
BKC,Buckland Airport,"Buckland, AK",United States
BKG,Branson Airport,"Branson, MO",United States
BKK,Suvarnabhumi Airport,"Bangkok, Thailand",Thailand
BKL,Burke Lakefront Airport,"Cleveland, OH",United States
BKW,Raleigh County Memorial Airport,"Beckley, WV",United States
BLA,General José Antonio Anzoategui International Airport,"Barcelona, Venezuela",Venezuela
BLD,Boulder City Municipal Airport,"Boulder City, NV",United States
BLI,Bellingham International Airport,"Bellingham, WA",United States
BLM,Monmouth Executive Airport,"Belmar/Farmingdale, NJ",United States
BLQ,Bologna Guglielmo Marconi Airport,"Bologna, Italy",Italy
BLR,Kempegowda International Airport Bengaluru,"Bangalore, India",India
BLV,Scott AFB/Midamerica Airport,"Belleville, IL",United States
BMG,Monroe County Airport,"Bloomington, IN",United States
BMI,Central Illinois Regional Airport at Bloomington-Normal,"Bloomington/Normal, IL",United States
BMX,Big Mountain Airport,"Big Mountain, AK",United States
BNA,Nashville International Airport,"Nashville, TN",United States
BNE,Brisbane International Airport,"Brisbane, Australia",Australia
BNF,Baranof Warm Springs Float and Seaplane Base,"Baranof, AK",United States
BNH,Cape Air Seaplanes on Boston Harbor Seaplane Base,"Boston, MA",United States
BOD,Bordeaux–Mérignac Airport,"Bordeaux, France",France
BOG,El Dorado International Airport,"Bogota, Colombia",Colombia
BOI,Boise Air Terminal/Gowen Field,"Boise, ID",United States
BOM,Chhatrapati Shivaji Maharaj International Airport,"Mumbai, India",India
BON,Flamingo International Airport,"Bonaire, Bonaire, Sint Eustatius, and Saba","Bonaire, Sint Eustatius, and Saba"
BOS,Boston Logan International Airport,"Boston, MA",United States
BOX,Borroloola Airport,"Borroloola, Australia",Australia
BPT,Jack Brooks Regional Airport,"Beaumont/Port Arthur, TX",United States
BQK,Brunswick Golden Isles Airport,"Brunswick, GA",United States
BQN,Rafael Hernández International Airport,"Aguadilla, PR",United States
BRD,Brainerd Lakes Regional Airport,"Brainerd, MN",United States
BRI,Bari Karol Wojtyła International Airport,"Bari, Italy",Italy
BRL,Southeast Iowa Regional Airport,"Burlington, IA",United States
BRO,Brownsville South Padre Island International Airport,"Brownsville, TX",United States
BRS,Bristol Airport,"Bristol, United Kingdom",United Kingdom
BRU,Brussels Airport,"Brussels, Belgium",Belgium
BRW,Wiley Post Will Rogers Memorial Airport,"Barrow, AK",United States
BS1,Goat Cay Airport,"Goat Cay, The Bahamas",The Bahamas
BS3,Baker Bay Airport,"Baker Bay, The Bahamas",The Bahamas
BSB,Presidente Juscelino Kubitschek International Airport,"Brasilia, Brazil",Brazil
BSL,EuroAirport Basel–Mulhouse–Freiburg,"Mulhouse, France",France
BTI,Barter Island Long Range Radar Station Airport,"Barter Island, AK",United States
BTL,Battle Creek Executive Airport at Kellogg Field,"Battle Creek, MI",United States
BTM,Bert Mooney Airport,"Butte, MT",United States
BTR,Baton Rouge Metropolitan Airport,"Baton Rouge, LA",United States
BTS,M. R. Štefánik Airport,"Bratislava, Slovakia",Slovakia
BTT,Bettles Airport,"Bettles, AK",United States
BTV,Patrick Leahy Burlington International Airport,"Burlington, VT",United States
BUD,Budapest Liszt Ferenc International Airport,"Budapest, Hungary",Hungary
BUF,Buffalo Niagara International Airport,"Buffalo, NY",United States
BUR,Hollywood Burbank/Bob Hope Airport,"Burbank, CA",United States
BVB,Atlas Brasil Cantanhede International Airport,"Boa Vista, Brazil",Brazil
BVU,Beluga Airport,"Beluga, AK",United States
BVY,Beverly Regional Airport,"Beverly, MA",United States
BWC,Brawley Municipal Airport,"Brawley, CA",United States
BWG,Bowling Green Warren County Regional Airport,"Bowling Green, KY",United States
BWI,Baltimore/Washington International Thurgood Marshall Airport,"Baltimore, MD",United States
BYH,Arkansas International Airport,"Blytheville, AR",United States
BZE,Philip S. W. Goldson International Airport,"Belize City, Belize",Belize
BZN,Bozeman Yellowstone International Airport,"Bozeman, MT",United States
C01,Camarillo Airport,"Camarillo, CA",United States
CAE,Columbia Metropolitan Airport,"Columbia, SC",United States
CAI,Cairo International Airport,"Cairo, Egypt",Egypt
CAK,Akron Canton Regional Airport,"Akron, OH",United States
CAN,Guangzhou Baiyun International Airport,"Guangzhou, China",China
CAP,Cap Haitien International Airport,"Cap-Haitien, Haiti",Haiti
CBA,Alpine Heliport,"Corner Bay, AK",United States
CBB,Jorge Wilsterman International Airport,"Cochabamba, Bolivia",Bolivia
CBR,Canberra Airport,"Canberra, Australia",Australia
CCC,Jardines Del Rey Airport,"Cayo Coco, Cuba",Cuba
CCP,Carriel Sur International Airport,"Concepcion, Chile",Chile
CCR,Buchanan Field,"Concord, CA",United States
CCS,Maiquetía Simón Bolívar International Airport,"Caracas, Venezuela",Venezuela
CCZ,Chub Cay Airport,"Chub Cay, The Bahamas",The Bahamas
CDB,Cold Bay Airport,"Cold Bay, AK",United States
CDC,Cedar City Regional Airport,"Cedar City, UT",United States
CDG,Charles de Gaulle International Airport,"Paris, France",France
CDL,Candle 2 Airport,"Candle, AK",United States
CDR,Chadron Municipal Airport,"Chadron, NE",United States
CDV,Merle K (Mudhole) Smith Airport,"Cordova, AK",United States
CDW,Essex County Airport,"Caldwell, NJ",United States
CEB,Mactan Cebu International Airport,"Lapu-Lapu City, Philippines",Philippines
CEC,Jack Mc Namara Field Airport,"Crescent City, CA",United States
CEF,Westover Metropolitan Airport / Westover Air Reserve Base,"Chicopee Falls, MA",United States
CEM,Central Airport,"Central, AK",United States
CEN,Ciudad Obregón International Airport,"Ciudad Obregon, Mexico",Mexico
CEX,Chena Hot Springs Airport,"Chena Hot Springs, AK",United States
CEZ,Cortez Municipal Airport,"Cortez, CO",United States
CFA,Coffee Point Airport,"Coffee Point, AK",United States
CFG,Jaime Gonzalez Airport,"Cienfuegos, Cuba",Cuba
CGA,Craig Seaplane Base,"Craig, AK",United States
CGF,Cuyahoga County Airport,"Cleveland, OH",United States
CGI,Cape Girardeau Regional Airport,"Cape Girardeau, MO",United States
CGN,Cologne Bonn Airport,"Cologne, Germany",Germany
CGO,Zhengzhou Xinzheng International Airport,"Zhengzhou, China",China
CHA,Chattanooga Metropolitan Airport (Lovell Field),"Chattanooga, TN",United States
CHC,Christchurch International Airport,"Christchurch, New Zealand",New Zealand
CHO,Charlottesville Albemarle Airport,"Charlottesville, VA",United States
CHP,Circle Hot Springs Airport,"Circle Hot Springs, AK",United States
CHS,Charleston International Airport,"Charleston, SC",United States
CHU,Chuathbaluk Airport,"Chuathbaluk, AK",United States
CIC,Chico Regional Airport,"Chico, CA",United States
CID,The Eastern Iowa Airport,"Cedar Rapids/Iowa City, IA",United States
CIK,Chalkyitsik Airport,"Chalkyitsik, AK",United States
CIL,Council Airport,"Council, AK",United States
CIU,Chippewa County International Airport,"Sault Ste. Marie, MI",United States
CIX,Capitán FAP José A. Quiñones González International Airport,"Chiclayo, Peru",Peru
CJS,Abraham González International Airport,"Ciudad Juarez, Mexico",Mexico
CJU,Jeju International Airport,"Jeju, South Korea",South Korea
CKB,North Central West Virginia Airport,"Clarksburg/Fairmont, WV",United States
CKD,Crooked Creek Airport,"Crooked Creek, AK",United States
CKG,Chongqing Jiangbei International Airport,"Chongqing, China",China
CKX,Chicken Airport,"Chicken, AK",United States
CLD,McClellan-Palomar Airport,"Carlsbad, CA",United States
CLE,Cleveland Hopkins International Airport,"Cleveland, OH",United States
CLL,Easterwood Field,"College Station/Bryan, TX",United States
CLM,William R Fairchild International Airport,"Port Angeles, WA",United States
CLO,Alfonso Bonilla Aragon International Airport,"Cali, Colombia",Colombia
CLP,Clarks Point Airport,"Clarks Point, AK",United States
CLT,Charlotte Douglas International Airport,"Charlotte, NC",United States
CME,Ciudad del Carmen International Airport,"Ciudad del Carmen, Mexico",Mexico
CMH,John Glenn Columbus International Airport,"Columbus, OH",United States
CMI,University of Illinois Willard Airport,"Champaign/Urbana, IL",United States
CMN,Mohammed V International Airport,"Casablanca, Morocco",Morocco
CMW,Ignacio Agramonte International Airport,"Camaguey, Cuba",Cuba
CMX,Houghton County Memorial Airport,"Hancock/Houghton, MI",United States
CN2,Mimmo Bay Water Aerodrome,"Nimmo Bay, Canada",Canada
CN4,Princess Louisa Marina Provincial Park,"Princess Lousia Inlet, Canada",Canada
CN5,Rendezvous Islands Water Aerodrome,"Rendezvous Islands, Canada",Canada
CN6,Shawl Bay Water Aerodrome,"Shawl Bay, Canada",Canada
CN9,Sointula Water Aerodrome,"Sointula, Canada",Canada
CNF,Tancredo Neves International Airport,"Belo Horizonte, Brazil",Brazil
CNM,Cavern City Air Terminal,"Carlsbad, NM",United States
CNS,Cairns International Airport,"Cairns, Australia",Australia
CNW,TSTC Waco Airport,"Waco, TX",United States
CNY,Canyonlands Regional Airport,"Moab, UT",United States
CO1,Monte Vista Municipal,"Monte Vista, CO",United States
COD,Yellowstone Regional Airport,"Cody, WY",United States
COR,Ingeniero Aeronáutico Ambrosio L.V. Taravella International Airport,"Cordoba, Argentina",Argentina
COS,City of Colorado Springs Municipal Airport,"Colorado Springs, CO",United States
COU,Columbia Regional Airport,"Columbia, MO",United States
CPE,Ingeniero Alberto Acuña Ongay International Airport,"Campeche, Mexico",Mexico
CPH,Copenhagen Kastrup Airport,"Copenhagen, Denmark",Denmark
CPR,Casper-Natrona County International Airport,"Casper, WY",United States
CPS,St Louis Downtown Airport,"St. Louis, MO",United States
CPT,Cape Town International Airport,"Cape Town, South Africa",South Africa
CPX,Benjamin Rivera Noriega Airport,"Culebra, PR",United States
CRK,Clark International Airport / Clark Air Base,"Luzon Island, Philippines",Philippines
CRP,Corpus Christi International Airport,"Corpus Christi, TX",United States
CRW,Yeager Airport,"Charleston/Dunbar, WV",United States
CSG,Columbus Airport,"Columbus, GA",United States
CSX,Changsha Huanghua International Airport,"Changsha, China",China
CT8,Sbctbh,"Belie Haven, CT",United States
CTA,Catania-Fontanarossa Airport,"Catania, Italy",Italy
CTG,Rafael Nuñez International Airport,"Cartagena, Colombia",Colombia
CTM,Chetumal International Airport,"Chetumal, Mexico",Mexico
CTS,New Chitose Airport,"Sapporo, Japan",Japan
CTU,Chengdu Shuangliu International Airport,"Chengdu, China",China
CUL,Bachigualato Federal International Airport,"Culiacan, Mexico",Mexico
CUN,Cancún International Airport,"Cancun, Mexico",Mexico
CUR,Hato International Airport,"Willemstad, Curacao",Curacao
CUU,General Roberto Fierro Villalobos International Airport,"Chihuahua, Mexico",Mexico
CVG,Cincinnati Northern Kentucky International Airport,"Cincinnati, OH",United States
CVM,General Pedro Jose Mendez International Airport,"Ciudad Victoria, Mexico",Mexico
CVN,Clovis Municipal Airport,"Clovis, NM",United States
CVO,Corvallis Municipal Airport,"Corvallis, OR",United States
CWA,Central Wisconsin Airport,"Mosinee, WI",United States
CWB,Curitiba-Afonso Pena International Airport,"Curitiba, Brazil",Brazil
CWF,Chennault International Airport,"Lake Charles, LA",United States
CWL,Cardiff International Airport,"Cardiff, United Kingdom",United Kingdom
CXF,Coldfoot Airport,"Coldfoot, AK",United States
CXH,Vancouver Harbour Water Aerodrome,"Vancouver, Canada",Canada
CXI,Cassidy International Airport,"Christmas Island, Kiribati",Kiribati
CXL,Calexico International Airport,"Calexico, CA",United States
CXY,Cat Cay Airport,"Cat Cay, The Bahamas",The Bahamas
CYB,Charles Kirkconnell International Airport,"Cayman Brac, Cayman Islands",Cayman Islands
CYF,Chefornak Airport,"Chefornak, AK",United States
CYM,Chatham Seaplane Base,"Chatham, AK",United States
CYS,Cheyenne Regional Jerry Olson Field,"Cheyenne, WY",United States
CYT,Yakataga Airport,"Cape Yakataga, AK",United States
CZF,Cape Romanzof LRRS Airport,"Cape Romanzof, AK",United States
CZM,Cozumel International Airport,"Cozumel, Mexico",Mexico
CZN,Chisana Airport,"Chisana, AK",United States
DAB,Daytona Beach International Airport,"Daytona Beach, FL",United States
DAL,Dallas Love Field,"Dallas, TX",United States
DAY,James M. Cox Dayton International Airport,"Dayton, OH",United States
DBQ,Dubuque Regional Airport,"Dubuque, IA",United States
DBV,Dubrovnik Ruđer Bošković Airport,"Dubrovnik, Croatia",Croatia
DCA,Ronald Reagan Washington National Airport,"Washington, DC",United States
DCK,Dahl Creek Airport,"Dahl Creek, AK",United States
DCU,Pryor Field Regional Airport,"Decatur, AL",United States
DDC,Dodge City Regional Airport,"Dodge City, KS",United States
DEC,Decatur Airport,"Decatur, IL",United States
DEL,Indira Gandhi International Airport,"Delhi, India",India
DEN,Denver International Airport,"Denver, CO",United States
DFW,Dallas Fort Worth International Airport,"Dallas/Fort Worth, TX",United States
DGB,Danger Bay Airport,"Danger Bay, AK",United States
DGO,General Guadalupe Victoria International Airport,"Durango, Mexico",Mexico
DHB,Deer Harbor SPB,"Deer Harbor, WA",United States
DHN,Dothan Regional Airport,"Dothan, AL",United States
DIK,Dickinson Theodore Roosevelt Regional Airport,"Dickinson, ND",United States
DIO,Diomede Heliport,"Diomede Island, AK",United States
DJN,Delta Junction Airport,"Delta Junction, AK",United States
DKR,Léopold Sédar Senghor International Airport,"Dakar, Senegal",Senegal
DLC,Dalian Zhoushuizi International Airport,"Dalian, China",China
DLG,Dillingham Airport,"Dillingham, AK",United States
DLH,Duluth International Airport,"Duluth, MN",United States
DLM,Dalaman International Airport,"Dalaman, Turkey",Turkey
DLS,Columbia Gorge Regional Airport,"The Dalles, OR",United States
DME,Domodedovo International Airport,"Moscow, Russia",Russia
DMM,King Fahd International Airport,"Dammam, Saudi Arabia",Saudi Arabia
DMN,Deming Municipal Airport,"Deming, NM",United States
DNN,Dalton Municipal Airport,"Dalton, GA",United States
DOF,Dora Bay Airport,"Dora Bay, AK",United States
DOH,Hamad International Airport,"Doha, Qatar",Qatar
DOM,Douglas-Charles Airport,"Marigot, Dominica",Dominica
DOV,Dover Civil Air Terminal/Dover Air Force Base,"Dover, DE",United States
DPA,Dupage Airport,"Chicago, IL",United States
DPS,Denpasar I Gusti Ngurah Rai International Airport,"Denpasar, Indonesia",Indonesia
DQK,Wheeler-Sack AAF,"Fort Drum, NY",United States
DQL,Lake Hood,"Anchorage, AK",United States
DQR,Grand Canyon West,"Peach Springs, AZ",United States
DQS,Grand Canyon Bar Ten Airstrip,"Whitmore, AZ",United States
DQU,Neets Bay,"Ketchikan, AK",United States
DRF,Drift River Airport,"Drift River, AK",United States
DRG,Deering Airport,"Deering, AK",United States
DRO,Durango La Plata County Airport,"Durango, CO",United States
DRT,Del Rio International Airport,"Del Rio, TX",United States
DSA,Doncaster Sheffield,"Finningley, United Kingdom",United Kingdom
DSI,Destin Executive Airport,"Destin, FL",United States
DSM,Des Moines International Airport,"Des Moines, IA",United States
DSS,Blaise Diagne International Airport,"Dakar Thies, Senegal",Senegal
DTO,Denton Enterprise,"Denton, TX",United States
DTR,Decatur Shores Airport,"Decatur Island, WA",United States
DTT,Detroit Metropolitan Area,"Detroit, MI",United States
DTW,Detroit Metropolitan Wayne County Airport,"Detroit, MI",United States
DUB,Dublin Airport,"Dublin, Ireland",Ireland
DUJ,DuBois Regional Airport,"DuBois, PA",United States
DUS,Düsseldorf Airport,"Dusseldorf, Germany",Germany
DUT,Tom Madsen (Dutch Harbor) Airport,"Unalaska, AK",United States
DVL,Devils Lake Regional Airport,"Devils Lake, ND",United States
DVO,Francisco Bangoy International Airport,"Davao, Philippines",Philippines
DVT,Phoenix Deer Valley Airport,"Phoenix, AZ",United States
DWC,Al Maktoum International Airport,"Jebel Ali, United Arab Emirates",United Arab Emirates
DWH,David Wayne Hooks Memorial Airport,"Houston, TX",United States
DXB,Dubai International Airport,"Dubai, United Arab Emirates",United Arab Emirates
DXR,Danbury Municipal Airport,"Danbury, CT",United States
DYS,Dyess Air Force Base,"Abilene, TX",United States
EAA,Eagle Airport,"Eagle, AK",United States
EAR,Kearney Regional Airport,"Kearney, NE",United States
EAT,Pangborn Memorial Airport,"Wenatchee, WA",United States
EAU,Chippewa Valley Regional Airport,"Eau Claire, WI",United States
ECP,Northwest Florida Beaches International Airport,"Panama City, FL",United States
EDA,Edna Bay Seaplane Base,"Edna Bay, AK",United States
EDF,Elmendorf Air Force Base,"Anchorage, AK",United States
EDI,Edinburgh Airport,"Edinburgh, United Kingdom",United Kingdom
EDW,Edwards Air Force Base,"Edwards, CA",United States
EEK,Eek Airport,"Eek, AK",United States
EEN,Dillant Hopkins Airport,"Keene, NH",United States
EFD,Ellington Airport,"Houston, TX",United States
EGA,Engati Airstrip,"Chenega, AK",United States
EGE,Eagle County Regional Airport,"Eagle, CO",United States
EGX,Egegik Airport,"Egegik, AK",United States
EHM,Cape Newenham LRRS Airport,"Cape Newenham, AK",United States
EHR,Eagle Harbor Airport,"Eagle Harbor, AK",United States
EIN,Eindhoven Airport,"Eindhoven, Netherlands",Netherlands
EIS,Terrance B. Lettsome International Airport,"Road Town, British Virgin Islands",British Virgin Islands
EKO,Elko Regional Airport,"Elko, NV",United States
ELD,South Arkansas Regional Airport at Goodwin Field,"El Dorado, AR",United States
ELH,North Eleuthera Airport,"North Eleuthera, The Bahamas",The Bahamas
ELI,Elim Airport,"Elim, AK",United States
ELM,Elmira Corning Regional Airport,"Elmira/Corning, NY",United States
ELP,El Paso International Airport,"El Paso, TX",United States
ELV,Elfin Cove Seaplane Base,"Elfin Cove, AK",United States
ELY,Ely Airport Yelland Field,"Ely, NV",United States
EMA,East Midlands Airport,"Derby, United Kingdom",United Kingdom
EMK,Emmonak Airport,"Emmonak, AK",United States
ENA,Kenai Municipal Airport,"Kenai, AK",United States
ENN,Nenana Municipal Airport,"Nenana, AK",United States
ENV,Wendover Airport,"Wendover, UT",United States
ERI,Erie International Tom Ridge Field,"Erie, PA",United States
ESB,Esenboğa International Airport,"Ankara, Turkey",Turkey
ESC,Delta County Airport,"Escanaba, MI",United States
ESD,Orcas Island Airport,"Eastsound, WA",United States
EUG,Eugene Airport,"Eugene, OR",United States
EVV,Evansville Regional Airport,"Evansville, IN",United States
EWB,New Bedford Regional Airport,"New Bedford/Fall River, MA",United States
EWN,Coastal Carolina Regional Airport,"New Bern/Morehead/Beaufort, NC",United States
EWR,Newark Liberty International Airport,"Newark, NJ",United States
EXI,Excursion Inlet Seaplane Base,"Excursion Inlet, AK",United States
EYW,Key West International Airport,"Key West, FL",United States
EZE,Ezeiza International Airport - Ministro Pistarini,"Ezeiza, Argentina",Argentina
FAB,Farnborough Airport,"Farnborough, United Kingdom",United Kingdom
FAI,Fairbanks International Airport,"Fairbanks, AK",United States
FAO,Faro - Gago Coutinho International Airport,"Faro, Portugal",Portugal
FAQ,Frieda River Airport,"Fitiuta Village, TT",United States
FAR,Hector International Airport,"Fargo, ND",United States
FAT,Fresno Yosemite International Airport,"Fresno, CA",United States
FAY,Fayetteville Regional Airport - Grannis Field,"Fayetteville, NC",United States
FBK,Ladd Army Airfield,"Fairbanks, AK",United States
FBS,Friday Harbor Seaplane Base,"Friday Harbor, WA",United States
FCA,Glacier Park International Airport,"Kalispell, MT",United States
FCM,Flying Cloud Airport,"Minneapolis, MN",United States
FCO,Rome–Fiumicino Leonardo da Vinci International Airport,"Rome, Italy",Italy
FDF,Martinique Aimé Césaire International Airport,"Fort de France, Martinique",Martinique
FFM,Fergus Falls Municipal Airport - Einar Mickelson Field,"Fergus Falls, MN",United States
FGI,Fagali'i Airport,"Apia, Samoa",Samoa
FHU,Sierra Vista Municipal Airport / Libby Army Air Field,"Fort Huachuca, AZ",United States
FKL,Venango Regional Airport,"Franklin/Oil City, PA",United States
FLG,Flagstaff Pulliam Airport,"Flagstaff, AZ",United States
FLL,Fort Lauderdale Hollywood International Airport,"Fort Lauderdale, FL",United States
FLO,Florence Regional Airport,"Florence, SC",United States
FLT,Flat Airport,"Flat, AK",United States
FMN,Four Corners Regional Airport,"Farmington, NM",United States
FNC,Cristiano Ronaldo International Airport,"Funchal, Portugal",Portugal
FNL,Northern Colorado Regional Airport,"Fort Collins/Loveland, CO",United States
FNR,Funter Bay Seaplane Base,"Funter Bay Alaska, AK",United States
FNT,Bishop International Airport,"Flint, MI",United States
FOC,Fuzhou Changle International Airport,"Fuzhou, China",China
FOD,Fort Dodge Regional Airport,"Fort Dodge, IA",United States
FOE,Topeka Regional Airport,"Topeka, KS",United States
FOK,Francis S Gabreski Airport,"Westhampton, NY",United States
FOR,Pinto Martins International Airport,"Fortaleza, Brazil",Brazil
FPO,Grand Bahama International Airport,"Freeport, The Bahamas",The Bahamas
FPR,Treasure Coast International Airport,"Fort Pierce, FL",United States
FQW,Fort Glenn Airport,"Fort Glenn, AK",United States
FRA,Frankfurt Main Airport,"Frankfurt, Germany",Germany
FRD,Friday Harbor Airport,"Friday Harbor, WA",United States
FRG,Republic Airport,"East Farmingdale, NY",United States
FSD,Sioux Falls Regional Airport,"Sioux Falls, SD",United States
FSM,Fort Smith Regional Airport,"Fort Smith, AR",United States
FSZ,Mount Fuji Shizuoka Airport,"Shizuoka, Japan",Japan
FTG,Colorado Air and Space Port,"Denver, CO",United States
FTW,Fort Worth Meacham International Airport,"Dallas/Fort Worth, TX",United States
FTY,Fulton County Airport Brown Field,"Atlanta, GA",United States
FUK,Fukuoka Airport,"Fukuoka, Japan",Japan
FVO,Aurora State,"Aurora, OR",United States
FVQ,Donlin Creek Mine Airport,"Donlin Creek Mine, AK",United States
FVX,Grace Harbor Airport,"Grace Harbor, AK",United States
FVZ,Inigok,"Deadhorse, AK",United States
FWA,Fort Wayne International Airport,"Fort Wayne, IN",United States
FWH,NAS Fort Worth JRB / Carswell Field,"Fort Worth, TX",United States
FWL,Farewell Airport,"Farewell, AK",United States
FXE,Fort Lauderdale Executive Airport,"Fort Lauderdale, FL",United States
FYU,Fort Yukon Airport,"Fort Yukon, AK",United States
